"SOC Code","Name","Url","Calculated Risk %","Voted Risk %","Votes","Is Group","Group SOC Codes"
"49-3093.00","Tire Repairers and Changers","https://willrobotstakemyjob.com/tire-repairers-and-changers","79.9","52.9","26","false",""
"23-2093.00","Title Examiners, Abstractors, and Searchers","https://willrobotstakemyjob.com/title-examiners-abstractors-and-searchers","100.0","54.9","41","false",""
"51-4111.00","Tool and Die Makers","https://willrobotstakemyjob.com/tool-and-die-makers","87.9","50.3","95","false",""
"51-4194.00","Tool Grinders, Filers, and Sharpeners","https://willrobotstakemyjob.com/tool-grinders-filers-and-sharpeners","100.0","75.0","5","false",""
"39-7011.00","Tour Guides and Escorts","https://willrobotstakemyjob.com/tour-guides-and-escorts","59.3","53.0","110","false",""
"53-6041.00","Traffic Technicians","https://willrobotstakemyjob.com/traffic-technicians","61.2","69.4","18","false",""
"11-3131.00","Training and Development Managers","https://willrobotstakemyjob.com/training-and-development-managers","14.5","35.9","110","false",""
"13-1151.00","Training and Development Specialists","https://willrobotstakemyjob.com/training-and-development-specialists","20.5","38.0","144","false",""
"33-3052.00","Transit and Railroad Police","https://willrobotstakemyjob.com/transit-and-railroad-police","11.9","46.9","24","false",""
"17-2051.01","Transportation Engineers","https://willrobotstakemyjob.com/transportation-engineers","7.9","32.9","35","false",""
"53-6051.00","Transportation Inspectors","https://willrobotstakemyjob.com/transportation-inspectors","64.5","60.0","20","false",""
"19-3099.01","Transportation Planners","https://willrobotstakemyjob.com/transportation-planners","18.3","39.6","36","false",""
"33-9093.00","Transportation Security Screeners","https://willrobotstakemyjob.com/transportation-security-screeners","61.7","65.8","19","false",""
"53-6051.07","Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","https://willrobotstakemyjob.com/transportation-vehicle-equipment-and-systems-inspectors-except-aviation","92.8","76.8","14","false",""
"11-3071.00","Transportation, Storage, and Distribution Managers","https://willrobotstakemyjob.com/transportation-storage-and-distribution-managers","32.3","47.4","98","false",""
"41-3041.00","Travel Agents","https://willrobotstakemyjob.com/travel-agents","80.8","69.7","113","false",""
"39-7012.00","Travel Guides","https://willrobotstakemyjob.com/travel-guides","44.1","41.8","58","false",""
"11-3031.01","Treasurers and Controllers","https://willrobotstakemyjob.com/treasurers-and-controllers","49.2","47.4","57","false",""
"37-3013.00","Tree Trimmers and Pruners","https://willrobotstakemyjob.com/tree-trimmers-and-pruners","63.9","38.6","77","false",""
"25-3041.00","Tutors","https://willrobotstakemyjob.com/tutors","44.5","44.6","42","false",""
"27-2023.00","Umpires, Referees, and Other Sports Officials","https://willrobotstakemyjob.com/umpires-referees-and-other-sports-officials","66.1","66.1","256","false",""
"51-6093.00","Upholsterers","https://willrobotstakemyjob.com/upholsterers","49.0","27.8","27","false",""
"19-3051.00","Urban and Regional Planners","https://willrobotstakemyjob.com/urban-and-regional-planners","0.6","24.7","287","false",""
"29-1229.03","Urologists","https://willrobotstakemyjob.com/urologists","0.0","24.0","26","false",""
"39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","https://willrobotstakemyjob.com/ushers-lobby-attendants-and-ticket-takers","95.6","88.8","38","false",""
"17-2112.02","Validation Engineers","https://willrobotstakemyjob.com/validation-engineers","56.4","51.3","20","false",""
"29-1131.00","Veterinarians","https://willrobotstakemyjob.com/veterinarians","6.8","20.0","1,393","false",""
